sample_id	genotype_id	phenotype	file_name	md5	URL
NA12005_H3K27ac	NA12005	H3K27ac	E-MTAB-3657.IP_12005_H3K27ac_120628_3_sorted.bam	a45bec27e44b25877a26c91e5769dfc5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12005_H3K27ac_120628_3_sorted.bam
NA12005_H3K4me1	NA12005	H3K4me1	E-MTAB-3657.IP_12005_H3K4me1_merge_sorted.bam	b8ad48c20b6b6c7b274c2517e4583c12	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12005_H3K4me1_merge_sorted.bam
NA12005_H3K4me3	NA12005	H3K4me3	E-MTAB-3657.IP_12005_H3K4me3_merge_sorted.bam	7c46c807146ecef2ab3b6fdfaa9b3cd4	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12005_H3K4me3_merge_sorted.bam
NA12005_PU1	NA12005	PU1	E-MTAB-3657.IP_12005_PU1_120605_7_sorted.bam	99907d37a90cebf65de24b55b992f2eb	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12005_PU1_120605_7_sorted.bam
NA12005_RPB2	NA12005	RPB2	E-MTAB-3657.IP_12005_RPB2_120515_1_sorted.bam	e7893ac10ff98df6c2524ec719803d74	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12005_RPB2_120515_1_sorted.bam
NA12043_H3K27ac	NA12043	H3K27ac	E-MTAB-3657.IP_12043_H3K27ac_120628_3_sorted.bam	dd804f917593fa8c2b265d7b6d5fd160	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12043_H3K27ac_120628_3_sorted.bam
NA12043_H3K4me1	NA12043	H3K4me1	E-MTAB-3657.IP_12043_H3K4me1_merge_sorted.bam	4304b94c0ce38e242cd6c917ac8a9fd5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12043_H3K4me1_merge_sorted.bam
NA12043_H3K4me3	NA12043	H3K4me3	E-MTAB-3657.IP_12043_H3K4me3_120521_7_sorted.bam	3098d90b148a245808a412c8b979d468	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12043_H3K4me3_120521_7_sorted.bam
NA12043_PU1	NA12043	PU1	E-MTAB-3657.IP_12043_PU1_120605_5_sorted.bam	009697d7da952e6c1d14ce626d9066b4	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12043_PU1_120605_5_sorted.bam
NA12043_RPB2	NA12043	RPB2	E-MTAB-3657.IP_12043_RPB2_merge_sorted.bam	b5de5a2924481af79244902ff5c317e8	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12043_RPB2_merge_sorted.bam
NA12154_H3K27ac	NA12154	H3K27ac	E-MTAB-3657.IP_12154_H3K27ac_120628_3_sorted.bam	b67d5a98001e2d7e6b2a40c2b8bcc128	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12154_H3K27ac_120628_3_sorted.bam
NA12154_H3K4me1	NA12154	H3K4me1	E-MTAB-3657.IP_12154_H3K4me1_merge_sorted.bam	8e9a7a33a8319d79bf080188c9484029	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12154_H3K4me1_merge_sorted.bam
NA12154_H3K4me3	NA12154	H3K4me3	E-MTAB-3657.IP_12154_H3K4me3_120521_6_sorted.bam	3b069eb76f766100dbc1d07f1818e028	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12154_H3K4me3_120521_6_sorted.bam
NA12154_PU1	NA12154	PU1	E-MTAB-3657.IP_12154_PU1_120521_6_sorted.bam	5165502c6e04f53a6eb21a067b0fd963	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12154_PU1_120521_6_sorted.bam
NA12154_RPB2	NA12154	RPB2	E-MTAB-3657.IP_12154_RPB2_merge_sorted.bam	a89f05d77ce86fe69dbfb77734cbe12d	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12154_RPB2_merge_sorted.bam
NA12156_H3K27ac	NA12156	H3K27ac	E-MTAB-3657.IP_12156_H3K27ac_120628_4_sorted.bam	cdd08356e8e8a824b968074cc459c1a7	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12156_H3K27ac_120628_4_sorted.bam
NA12156_H3K4me1	NA12156	H3K4me1	E-MTAB-3657.IP_12156_H3K4me1_merge_sorted.bam	a28a4c5f23f0cc9c90b45218b811760a	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12156_H3K4me1_merge_sorted.bam
NA12156_H3K4me3	NA12156	H3K4me3	E-MTAB-3657.IP_12156_H3K4me3_merge_sorted.bam	ccf93487663a24f030fc3301b16d6a4a	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12156_H3K4me3_merge_sorted.bam
NA12156_PU1	NA12156	PU1	E-MTAB-3657.IP_12156_PU1_120605_5_sorted.bam	04d664d041fc15ed324cc51e8cf76215	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12156_PU1_120605_5_sorted.bam
NA12156_RPB2	NA12156	RPB2	E-MTAB-3657.IP_12156_RPB2_merge_sorted.bam	f7517e1eb3741362c2c1cfd826f2753f	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12156_RPB2_merge_sorted.bam
NA12234_H3K27ac	NA12234	H3K27ac	E-MTAB-3657.IP_12234_H3K27ac_120628_4_sorted.bam	4bdf75b68120edfb4eb3043690357b9c	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12234_H3K27ac_120628_4_sorted.bam
NA12234_H3K4me1	NA12234	H3K4me1	E-MTAB-3657.IP_12234_H3K4me1_merge_sorted.bam	0f278f06a53bbddd216f215d95a41ff7	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12234_H3K4me1_merge_sorted.bam
NA12234_H3K4me3	NA12234	H3K4me3	E-MTAB-3657.IP_12234_H3K4me3_merge_sorted.bam	d9fcd184b1ae883cdc905f8a398f6533	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12234_H3K4me3_merge_sorted.bam
NA12234_PU1	NA12234	PU1	E-MTAB-3657.IP_12234_PU1_120612_6_sorted.bam	297904f88b430f99ddaf0bddf3f3ce90	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12234_PU1_120612_6_sorted.bam
NA12234_RPB2	NA12234	RPB2	E-MTAB-3657.IP_12234_RPB2_merge_sorted.bam	50ccf7debcdf4ca3db48454e66e10398	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12234_RPB2_merge_sorted.bam
NA12249_H3K27ac	NA12249	H3K27ac	E-MTAB-3657.IP_12249_H3K27ac_120628_5_sorted.bam	67e95c668e58de21494204420cefbaa4	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12249_H3K27ac_120628_5_sorted.bam
NA12249_H3K4me1	NA12249	H3K4me1	E-MTAB-3657.IP_12249_H3K4me1_merge_sorted.bam	637e73c9f9420017b304178f4a4264c5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12249_H3K4me1_merge_sorted.bam
NA12249_H3K4me3	NA12249	H3K4me3	E-MTAB-3657.IP_12249_H3K4me3_120605_8_sorted.bam	605381567e3ac0edd8e167fd51112c97	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12249_H3K4me3_120605_8_sorted.bam
NA12249_PU1	NA12249	PU1	E-MTAB-3657.IP_12249_PU1_120612_4_sorted.bam	c21d3b97daf3475a0a49502d20a69b7c	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12249_PU1_120612_4_sorted.bam
