study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	library_layout	fastq_ftp
PRJEB1350	ERP002168	SAMEA1706499	ERS037299	ERX200538	ERR225878	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225878/ERR225878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225878/ERR225878_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706502	ERS037302	ERX200539	ERR225879	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225879/ERR225879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225879/ERR225879_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706495	ERS037295	ERX200540	ERR225880	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225880/ERR225880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225880/ERR225880_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706500	ERS037300	ERX200543	ERR225883	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225883/ERR225883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225883/ERR225883_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706527	ERS037334	ERX200544	ERR225884	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225884/ERR225884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225884/ERR225884_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706537	ERS037353	ERX200545	ERR225885	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225885/ERR225885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225885/ERR225885_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706496	ERS037298	ERX200546	ERR225886	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225886/ERR225886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225886/ERR225886_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706536	ERS037349	ERX200549	ERR225889	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225889/ERR225889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225889/ERR225889_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706539	ERS037354	ERX200550	ERR225890	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225890/ERR225890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225890/ERR225890_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706538	ERS037355	ERX200551	ERR225891	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225891/ERR225891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225891/ERR225891_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706592	ERS064934	ERX200552	ERR225892	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225892/ERR225892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225892/ERR225892_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706593	ERS064935	ERX200553	ERR225893	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225893/ERR225893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225893/ERR225893_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706590	ERS064936	ERX200554	ERR225894	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225894/ERR225894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225894/ERR225894_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706591	ERS064937	ERX200555	ERR225895	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225895/ERR225895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225895/ERR225895_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706501	ERS037301	ERX664188	ERR720266	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720266/ERR720266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720266/ERR720266_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706503	ERS037303	ERX664189	ERR720267	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720267/ERR720267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720267/ERR720267_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1945966	ERS037321	ERX664190	ERR720268	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720268/ERR720268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720268/ERR720268_2.fastq.gz
